year,cpi
1960-01-01,1.779877847
1960-02-01,1.772822438
1960-03-01,1.765767029
1960-04-01,1.7587116200000001
1960-05-01,1.751656211
1960-06-01,1.744600802
1960-07-01,1.737545393
1960-08-01,1.730489984
1960-09-01,1.723434575
1960-10-01,1.7163791659999998
1960-11-01,1.709323757
1960-12-01,1.702268348
1961-01-01,1.695212939
1961-02-01,1.8566297749999998
1961-03-01,2.018046611
1961-04-01,2.179463447
1961-05-01,2.3408802829999997
1961-06-01,2.5022971189999996
1961-07-01,2.6637139549999995
1961-08-01,2.825130791
1961-09-01,2.9865476269999998
1961-10-01,3.1479644629999997
1961-11-01,3.309381299
1961-12-01,3.470798135
1962-01-01,3.632214971
1962-02-01,3.5750438365
1962-03-01,3.517872702
1962-04-01,3.4607015674999997
1962-05-01,3.403530433
1962-06-01,3.3463592985
1962-07-01,3.2891881639999996
1962-08-01,3.2320170294999997
1962-09-01,3.174845895
1962-10-01,3.1176747605
1962-11-01,3.060503626
1962-12-01,3.0033324914999997
1963-01-01,2.946161357
1963-02-01,3.81358633975
1963-03-01,4.6810113225
1963-04-01,5.54843630525
1963-05-01,6.415861288
1963-06-01,7.283286270750001
1963-07-01,8.1507112535
1963-08-01,9.018136236250001
1963-09-01,9.885561219000001
1963-10-01,10.752986201750002
1963-11-01,11.6204111845
1963-12-01,12.48783616725
1964-01-01,13.35526115
1964-02-01,13.031885936833334
1964-03-01,12.708510723666667
1964-04-01,12.3851355105
1964-05-01,12.061760297333334
1964-06-01,11.738385084166667
1964-07-01,11.415009871
1964-08-01,11.091634657833334
1964-09-01,10.768259444666667
1964-10-01,10.444884231500001
1964-11-01,10.121509018333334
1964-12-01,9.798133805166668
1965-01-01,9.474758592
1965-02-01,9.585349405166667
1965-03-01,9.695940218333334
1965-04-01,9.8065310315
1965-05-01,9.917121844666667
1965-06-01,10.027712657833334
1965-07-01,10.138303471
1965-08-01,10.248894284166667
1965-09-01,10.359485097333334
1965-10-01,10.4700759105
1965-11-01,10.580666723666667
1965-12-01,10.691257536833334
1966-01-01,10.80184835
1966-02-01,10.990211194166667
1966-03-01,11.178574038333334
1966-04-01,11.3669368825
1966-05-01,11.555299726666666
1966-06-01,11.743662570833333
1966-07-01,11.932025415
1966-08-01,12.120388259166667
1966-09-01,12.308751103333334
1966-10-01,12.4971139475
1966-11-01,12.685476791666666
1966-12-01,12.873839635833333
1967-01-01,13.06220248
1967-02-01,12.2434699755
1967-03-01,11.424737471
1967-04-01,10.6060049665
1967-05-01,9.787272462
1967-06-01,8.968539957499999
1967-07-01,8.149807453000001
1967-08-01,7.3310749485
1967-09-01,6.512342444000001
1967-10-01,5.693609939500001
1967-11-01,4.874877435
1967-12-01,4.0561449305
1968-01-01,3.237412426
1968-02-01,2.9189500063333336
1968-03-01,2.6004875866666666
1968-04-01,2.282025167
1968-05-01,1.9635627473333335
1968-06-01,1.645100327666667
1968-07-01,1.3266379080000001
1968-08-01,1.0081754883333334
1968-09-01,0.6897130686666668
1968-10-01,0.37125064900000027
1968-11-01,0.052788229333333714
1968-12-01,-0.2656741903333333
1969-01-01,-0.58413661
1969-02-01,-0.11110342416666658
1969-03-01,0.3619297616666668
1969-04-01,0.8349629475000001
1969-05-01,1.3079961333333334
1969-06-01,1.781029319166667
1969-07-01,2.2540625050000003
1969-08-01,2.727095690833334
1969-09-01,3.200128876666667
1969-10-01,3.6731620625000003
1969-11-01,4.146195248333334
1969-12-01,4.619228434166668
1970-01-01,5.09226162
1970-02-01,4.924568042000001
1970-03-01,4.756874464
1970-04-01,4.589180886
1970-05-01,4.421487308000001
1970-06-01,4.25379373
1970-07-01,4.086100152
1970-08-01,3.918406574
1970-09-01,3.750712996
1970-10-01,3.583019418
1970-11-01,3.41532584
1970-12-01,3.2476322619999998
1971-01-01,3.079938684
1971-02-01,3.360118582166667
1971-03-01,3.6402984803333336
1971-04-01,3.9204783785000004
1971-05-01,4.200658276666667
1971-06-01,4.480838174833334
1971-07-01,4.761018073000001
1971-08-01,5.0411979711666675
1971-09-01,5.321377869333334
1971-10-01,5.601557767500001
1971-11-01,5.881737665666668
1971-12-01,6.1619175638333346
1972-01-01,6.442097462
1972-02-01,7.3169906718333335
1972-03-01,8.191883881666667
1972-04-01,9.0667770915
1972-05-01,9.941670301333334
1972-06-01,10.816563511166667
1972-07-01,11.691456721000002
1972-08-01,12.566349930833335
1972-09-01,13.441243140666668
1972-10-01,14.3161363505
1972-11-01,15.191029560333334
1972-12-01,16.06592277016667
1973-01-01,16.94081598
1973-02-01,17.912309155
1973-03-01,18.88380233
1973-04-01,19.855295505
1973-05-01,20.82678868
1973-06-01,21.798281855
1973-07-01,22.769775029999998
1973-08-01,23.741268205
1973-09-01,24.71276138
1973-10-01,25.684254555
1973-11-01,26.65574773
1973-12-01,27.627240905
1974-01-01,28.59873408
1974-02-01,26.694542098166668
1974-03-01,24.790350116333332
1974-04-01,22.8861581345
1974-05-01,20.981966152666665
1974-06-01,19.077774170833333
1974-07-01,17.173582189
1974-08-01,15.269390207166666
1974-09-01,13.365198225333332
1974-10-01,11.461006243499998
1974-11-01,9.556814261666666
1974-12-01,7.652622279833331
1975-01-01,5.748430298
1975-02-01,4.633232136999999
1975-03-01,3.5180339759999995
1975-04-01,2.4028358149999995
1975-05-01,1.2876376539999992
1975-06-01,0.17243949299999883
1975-07-01,-0.9427586680000006
1975-08-01,-2.057956829000001
1975-09-01,-3.1731549900000013
1975-10-01,-4.288353151000002
1975-11-01,-5.403551312000002
1975-12-01,-6.518749473000002
